"algorithm","max_iterations","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"arow",5,0.998458196630476,0.999968588027392,0.998489594798411,0.999226358483277,0.999073803045745,0.999138158110523,0.998489601698424,0.998811999596561
"arow",10,0.999133736912979,0.999968588027392,0.999165135080914,0.9995664374156,0.999387761243934,0.999365040156407,0.999165141980928,0.999264489177677
"arow",50,0.99951508356627,0.999968586055827,0.999546479762949,0.999757380570278,0.999591851509827,0.999415173733151,0.999546488634219,0.999480171106508
"arow",100,0.999559527108561,0.999968589014569,0.999590926262124,0.999779611618052,0.999654648323759,0.999628076283968,0.99959093217651,0.999609236320669
"averaged-perceptron",5,0.763614196420376,0.999968524742987,0.763645531446473,0.830832277820046,0.865115901626469,0.913856431511588,0.763645601488325,0.79661393441462
"averaged-perceptron",10,0.937547269475644,0.999968531684352,0.937578611414153,0.966306510129579,0.96459920547465,0.96624277310119,0.937578674543593,0.949910450683357
"averaged-perceptron",50,0.989347386871304,0.99996856037432,0.989378757418428,0.994584768852196,0.993924423559004,0.992540324092985,0.989378791939253,0.990890347670607
"averaged-perceptron",100,0.99376209588788,0.999968568279498,0.993793474326842,0.996844811741207,0.996514821132812,0.995080020546903,0.993793500955828,0.994404008539993
"l2sgd",5,0.658298421566878,0.999968530680668,0.658329762512633,0.680158133660203,0.789052277504156,0.827636882502415,0.658329826634826,0.645126031958663
"l2sgd",10,0.717148738013394,0.99996852274652,0.71718007106111,0.738738059658999,0.834916217337669,0.872022817193833,0.717180143081343,0.709498858414239
"l2sgd",50,0.832281124742448,0.999968527699512,0.832312462727596,0.841699828357387,0.895807082083665,0.911629534867157,0.832312529810397,0.824539340302973
"l2sgd",100,0.836506070557138,0.999968536600548,0.836537417414171,0.844022922797655,0.897958080663705,0.909769767476127,0.836537475625086,0.828094656862629
"lbfgs",5,0.883729045187362,0.999968013252348,0.883759879147409,0.932530399905915,0.930501492385803,0.927727720483424,0.88376045025531,0.894466297161756
"lbfgs",10,0.988989229588163,0.999968525739828,0.989020565606088,0.994439397124134,0.992511560517549,0.988686633186111,0.989020634656112,0.98871846993564
"lbfgs",50,0.999742757715416,0.999968587039283,0.999774154891837,0.999871339825903,0.999733111688238,0.999689290528099,0.999774162783365,0.999731619629401
"lbfgs",100,0.999742757715416,0.999968587039283,0.999774154891837,0.999871339825903,0.999733111688238,0.999689290528099,0.999774162783365,0.999731619629401
"passive-aggressive",5,0.986713556190986,0.999968589013947,0.98674495534114,0.992985419120459,0.991333507130735,0.996371013252479,0.986744961258935,0.991164022956728
"passive-aggressive",10,0.99390494889208,0.999968589013947,0.993936348042234,0.99687060419109,0.995399860370545,0.997989116052547,0.993936353960028,0.995870511634797
"passive-aggressive",50,0.999704822796805,0.999968589013947,0.999736221946959,0.999852322780333,0.999748815205246,0.999698495621605,0.999736227864754,0.999717165392628
"passive-aggressive",100,0.999772623540662,0.999968589013947,0.999804022690816,0.999886281314941,0.99978021484415,0.999696606026975,0.999804028608611,0.999750204351292
