"algorithm","max_iterations","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"arow",5,0.997447303791989,0.999952115551158,0.997495064420766,0.998716116346169,0.997968032878773,0.996614315892083,0.997495126180374,0.997041267460843
"arow",10,0.998475446030435,0.999952142586453,0.998523233445868,0.999235618248888,0.998846236046125,0.998310312165155,0.998523268418821,0.998412917818707
"arow",50,0.99916490852799,0.999952163610889,0.999212716917244,0.999581868966712,0.999448968927673,0.999408851676427,0.999212730916376,0.999309878760206
"arow",100,0.99940415647631,0.999952163610889,0.999451964865564,0.999701630955735,0.99956951164882,0.999455966996023,0.999451978864696,0.999453312120584
"averaged-perceptron",5,0.765224630314285,0.999952129724019,0.765272404851791,0.832191747323637,0.85818505120582,0.916984465656143,0.76527245270267,0.796963062943921
"averaged-perceptron",10,0.929456440774253,0.999952114514736,0.929504200137633,0.961012485397954,0.959051139171128,0.956055442589406,0.929504263162639,0.939583873566178
"averaged-perceptron",50,0.994549470539018,0.999952119190028,0.994597234569709,0.997256936023563,0.996555107246098,0.996266097663687,0.994597292927404,0.995420573699753
"averaged-perceptron",100,0.996339530267984,0.999952135570332,0.996387310641822,0.998158123823301,0.997640273546138,0.997856921014647,0.99638735265637,0.997111300831896
"l2sgd",5,0.679164167269143,0.99995211802699,0.679211930145162,0.691241484711235,0.801493905674633,0.853976091364097,0.679211989657528,0.661796977829802
"l2sgd",10,0.685044227645044,0.99995211802699,0.685091990521063,0.694313713522771,0.804404723599582,0.849440675882954,0.685092050033429,0.666540864063144
"l2sgd",50,0.763892975766654,0.999952137900401,0.763940758468175,0.783450614897249,0.859845038100742,0.906157845853419,0.76394079815504,0.75987282209897
"l2sgd",100,0.82523044995071,0.999952160091848,0.825278254823727,0.837908524355945,0.893106426785028,0.911918238718828,0.825278272339096,0.819886247941345
"lbfgs",5,0.85663376618612,0.999951332132084,0.856680757604906,0.916910085834858,0.913646661525076,0.909315275165541,0.856681588574505,0.869874746615148
"lbfgs",10,0.996892356782538,0.999952142575688,0.996940144152958,0.998442317777491,0.997846647808139,0.997573730845874,0.996940179170924,0.997253535425856
"lbfgs",50,0.999563195115476,0.999952162436683,0.999611002330527,0.999781435467136,0.999621026667652,0.999586852370595,0.999611017503862,0.999598694874174
"lbfgs",100,0.999563195115476,0.999952162436683,0.999611002330527,0.999781435467136,0.999621026667652,0.999586852370595,0.999611017503862,0.999598694874174
"passive-aggressive",5,0.966768772538075,0.999952140104933,0.966816557550116,0.980505246692067,0.972111647814968,0.989111304445236,0.96681659492646,0.974835495935119
"passive-aggressive",10,0.991978717355296,0.999952169442431,0.992026531575695,0.995798397060078,0.993543824858694,0.997418598992571,0.992026539743682,0.994513257570217
"passive-aggressive",50,0.999793524963552,0.999952167104792,0.999841336845914,0.999896715740309,0.999827761363315,0.999767134943198,0.999841347351938,0.999804143259272
"passive-aggressive",100,0.999793524963552,0.999952167104792,0.999841336845914,0.999896715740309,0.999827761363315,0.999752743764144,0.999841347351938,0.999796942980438
