"max_epochs","lstm_units","batch_size","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
5,32,16,0.582650556320127,0.0222073786700151,0.196135059630147,0.0410420977423542,0.608609002874805,0.589511599430363,0.395945214243121,0.612806966474914
5,32,32,0.604161527590019,0.0466898987116469,0.196442886742962,0.0706220401253619,0.534013292258242,0.602013269642905,0.374469385750627,0.509111646905095
5,32,64,0.571666278735906,0.0214435447553228,0.195923306351856,0.0401388379478104,0.617308202718957,0.61006464193335,0.406896245490326,0.631004721434273
5,64,16,0.587765047916488,0.0223195319466289,0.195024829622651,0.0416339263400975,0.594760431402936,0.570133687631058,0.39069403826293,0.609015487667628
5,64,32,0.574932453673927,0.0200741256314488,0.195473868149609,0.0376044874842187,0.61432894786407,0.673528971448154,0.403592388027575,0.58933606552352
5,64,64,0.577693143872122,0.0217001705882595,0.195233651179442,0.0404245205171455,0.614086562877629,0.668785617273657,0.400793262371236,0.626418771082811
10,32,16,0.565854165438673,0.0215531923285668,0.195458372053708,0.0403446687782213,0.618893160594826,0.601000586107892,0.412659572546857,0.645080421980311
10,32,32,0.56697937798383,0.018872487359402,0.196148658464532,0.0353765639913361,0.621304327159753,0.719253242009815,0.411610487322374,0.568762161544709
10,32,64,0.562783743883382,0.0203307552428959,0.196035982408194,0.0380803851526257,0.62013347662658,0.675813629146004,0.415792450882836,0.613455646152688
10,64,16,0.569032416239209,0.0779365508853978,0.196676228210255,0.0404747594605909,0.615518115450898,0.594498328556173,0.409484461733375,0.56776208377596
10,64,32,0.574265570599847,0.0192580839030219,0.194897520271944,0.0360290169747585,0.607180132831754,0.622857751403047,0.404196823661959,0.550167976448554
10,64,64,0.579620314640486,0.0199860989168705,0.195183196849526,0.0374661397035058,0.609796781733629,0.670054107179397,0.398866773473896,0.580671122543622
50,32,16,0.569698608435804,0.0214077689607731,0.19534632723578,0.040120227267012,0.617962203982404,0.600412298303921,0.408801468347541,0.64029708110165
50,32,32,0.559388139836541,0.0212996569367395,0.19534632723578,0.0399235689823617,0.627540789137853,0.744436530636468,0.419111936946803,0.660409394176556
50,32,64,0.557545266614392,0.0211261992234294,0.195356579256611,0.0396410783012427,0.628935939180254,0.751116082287215,0.420969126993699,0.662221371220296
50,64,16,0.560309682239488,0.0199874911680265,0.19581189277234,0.0374728506347007,0.626317454828177,0.627264024169386,0.418239180787748,0.61489819463688
50,64,32,0.559450290306895,0.0189366362363452,0.195923306351856,0.035487475374584,0.626110926384868,0.66704978763531,0.419112233919337,0.583181218530572
50,64,64,0.560034008538215,0.018802037812369,0.195736554228899,0.035242539000601,0.627730280971607,0.65348381890932,0.418501214290907,0.582027506945228
