"algorithm","max_iterations","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"arow",5,0.0456485672037627,0.0442010028352179,0.992847747348568,0.0842626965732194,0.998717678471452,0.998248498591831,0.998200168120887,0.998222024464607
"arow",10,0.0453911563258331,0.044200275633502,0.993042869299788,0.0842621965830182,0.998952268530586,0.998775585727321,0.998482732276603,0.998628005134456
"arow",50,0.0451130174194689,0.0441877554264155,0.993042869299788,0.0842393558265741,0.999124242448825,0.998945878748968,0.998760871182967,0.998852801775671
"arow",100,0.0447730285960316,0.0441722929827415,0.993042869299788,0.0842111579174524,0.999390066581596,0.999273294980247,0.999100860006404,0.999186935410345
"averaged-perceptron",5,0.203900792360156,0.0447840114377741,0.798297432794966,0.083983335363361,0.888233587016184,0.95715014668357,0.82381645231333,0.864494934112953
"averaged-perceptron",10,0.0870909944095514,0.0419832750436626,0.887520806985393,0.0796800185548294,0.966913139710713,0.983863648228787,0.946998616874751,0.961933052231525
"averaged-perceptron",50,0.0460752309617275,0.0438258525597728,0.978255685111748,0.0835332902086477,0.998013442293909,0.998103911634605,0.996927789759545,0.997509741311445
"averaged-perceptron",100,0.0451395002231156,0.0440078920598078,0.985730624719038,0.0838890045817146,0.998858052590433,0.998702195777324,0.998332574028654,0.998515194347633
"l2sgd",5,0.189618371787366,0.0480443111550863,0.749924174622186,0.0799464744178352,0.902892727223699,0.965798904994639,0.833745387023625,0.845940403239893
"l2sgd",10,0.0661411633672885,0.0403128754685424,0.882142500580356,0.0767373909158853,0.983250011104642,0.991673486650333,0.96825967083206,0.978673520910634
"l2sgd",50,0.0464588529443424,0.0427021417426784,0.950559476844546,0.0813762558280284,0.996903552134351,0.99843398869331,0.994211262029572,0.996260081701148
"l2sgd",100,0.0447081056395632,0.0437287846015152,0.976862423480884,0.0833510958063044,0.998873848832938,0.999268049270523,0.99821987154198,0.998742778432544
"lbfgs",5,0.38090342461012,0.0362303520423048,0.52909350336009,0.0668968595590528,0.788233204414679,0.865281836736898,0.6280886460343,0.640982700217064
"lbfgs",10,0.0517700743743679,0.0390253150060706,0.868911373631969,0.0743362168161513,0.991115166675447,0.993951504731676,0.980893028999722,0.987015817290771
"lbfgs",50,0.0444180521765263,0.0441674357206655,0.992626376727788,0.084202022334193,0.999640216789565,0.999586064390347,0.99947865960389,0.999532270837652
"lbfgs",100,0.0444180521765263,0.0441674357206655,0.992626376727788,0.084202022334193,0.999640216789565,0.999586064390347,0.99947865960389,0.999532270837652
"passive-aggressive",5,0.0613122096988932,0.0432554527752725,0.946175808716933,0.082297248284513,0.971867184153584,0.978580775069474,0.978515273659528,0.97554350978859
"passive-aggressive",10,0.0450049476588176,0.0430358755222495,0.965040560497479,0.0820257164761454,0.997529001752973,0.998216460724528,0.996436222198516,0.997291543640708
"passive-aggressive",50,0.0444574014292156,0.0442396893295519,0.995112710569629,0.0843421128016767,0.999687167585663,0.999592185571395,0.999591450867673,0.999591749958753
"passive-aggressive",100,0.0444388657480294,0.0442387689968215,0.995112710569629,0.0843404435218852,0.999702815813501,0.999646245171516,0.999609986548859,0.999628056170218
