"algorithm","max_iterations","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"arow",5,0.0467231520735115,0.0448058267377664,0.992822617209473,0.0853688462598381,0.998304614105305,0.997462322927345,0.997720087889711,0.997586752535946
"arow",10,0.046415631414301,0.0447797654752932,0.99113273526391,0.0853185048976446,0.998508668633386,0.997795426328087,0.997998412556961,0.997893480569383
"arow",50,0.0458087838581046,0.0448630163250822,0.996191507125751,0.0854846584694702,0.9990423787044,0.998518921748741,0.998857571357303,0.998686094486737
"arow",100,0.0454980689227377,0.044869178630506,0.996595547529792,0.085497277203993,0.999340612432962,0.999188156605528,0.999202873408969,0.999194761142517
"averaged-perceptron",5,0.308609769010357,0.0529152584997047,0.686857888960712,0.0911055403910478,0.825273887049252,0.940701886099565,0.707889251659975,0.746740476347292
"averaged-perceptron",10,0.12338114264276,0.0451849645270604,0.873567848210513,0.0850880353476303,0.950532849663359,0.980116129183036,0.910142071785359,0.936488188672153
"averaged-perceptron",50,0.0480041770951972,0.0445670698049827,0.982069085822332,0.0848983360446957,0.997346932333303,0.997789006623356,0.995777526672254,0.996773566551536
"averaged-perceptron",100,0.0458337909978387,0.0445933077057633,0.984929765269721,0.0849582829559298,0.998665610107106,0.998373960459489,0.99821993404741,0.998295597731488
"l2sgd",5,0.367566091443468,0.0876773170651079,0.624851248745153,0.0968878211567471,0.782807489612193,0.949731592938446,0.645968186563838,0.641389279599827
"l2sgd",10,0.338410443163147,0.0881929753776673,0.656345670999428,0.0980892680643868,0.800953458310612,0.955495756461502,0.678326993946038,0.666968868931679
"l2sgd",50,0.331631575125348,0.0899838430016943,0.700446534805361,0.101535415708819,0.806431510002611,0.958288740186604,0.689368127467249,0.674207828448518
"l2sgd",100,0.330167716757624,0.0890763836978806,0.701215765574592,0.100656704139601,0.807342216715326,0.959020629966671,0.690904057907045,0.676464834436577
"lbfgs",5,0.400034536094103,0.0541529637455649,0.568081571668254,0.0849656232255118,0.757122937660063,0.867553242445265,0.61078730918021,0.588569660291393
"lbfgs",10,0.0500563896865435,0.0396208367326114,0.869408917651869,0.0754329320456508,0.991475757442592,0.993228834594403,0.98328471988958,0.987983020236513
"lbfgs",50,0.0449410799508646,0.0447835783428565,0.993816053234989,0.0853337974042987,0.999591850263763,0.999477201058189,0.999623927582479,0.999550276356592
"lbfgs",100,0.0449410799508646,0.0447835783428565,0.993816053234989,0.0853337974042987,0.999591850263763,0.999477201058189,0.999623927582479,0.999550276356592
"passive-aggressive",5,0.0748970513326609,0.0435492110337216,0.934015486886179,0.0828155289947719,0.968493420705346,0.988318081901276,0.964347916986898,0.972731280353567
"passive-aggressive",10,0.0520123762128477,0.0435984287830706,0.957822324997901,0.0830306591502049,0.990612465377333,0.996010990087723,0.989553531222924,0.99240173062558
"passive-aggressive",50,0.0449385984730972,0.0448427511250675,0.996382637632671,0.0854482839182191,0.999686057803462,0.99945655072666,0.999749783017033,0.999602813044887
"passive-aggressive",100,0.0449386043877938,0.044842752607497,0.996382637632671,0.0854482866962778,0.999686050412413,0.999453294459849,0.999749777102337,0.999601165416152
