"max_epochs","lstm_units","batch_size","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
5,32,16,0.57698639886665,0.0785792015262871,0.212118593267524,0.0405693508836938,0.600775049556266,0.630937091974934,0.404760762121999,0.549336414990892
5,32,32,0.579314706409597,0.0469281873058076,0.210590593203916,0.0390937550887714,0.585338524402041,0.607791728763338,0.402369831707864,0.510133533954333
5,32,64,0.585080208327799,0.0744768569747561,0.213847293272131,0.0403593561117404,0.591110316921806,0.606827037627102,0.396780200493461,0.503728932037058
5,64,16,0.583035940528494,0.074093405678113,0.212469619381641,0.0396801286473155,0.593581032311297,0.62886861075927,0.398661550756856,0.499713710662099
5,64,32,0.583018841598484,0.0421682111490389,0.210279871222835,0.043691567085847,0.586538411566374,0.602605272092342,0.39860106304504,0.564272338842686
5,64,64,0.581393604041803,0.0197864991249439,0.2116338057907,0.0371884579294364,0.595114703076663,0.636654739978771,0.400451934668125,0.535461165163792
10,32,16,0.575312661815494,0.101581312272967,0.20940757398358,0.0424955244332711,0.601354504829088,0.61613666933255,0.406010995577873,0.523919328229126
10,32,32,0.565108230365636,0.0214294032187745,0.215056736675901,0.040261882011947,0.608049449897279,0.70102543391637,0.417024720107991,0.604775089832295
10,32,64,0.581682199273218,0.0832684344082467,0.211634099391361,0.0429684570425593,0.594895076008279,0.695646899859621,0.399990884329556,0.567578856331175
10,64,16,0.562638139042406,0.0841278284837948,0.217259533878698,0.0460404916637121,0.607924890484797,0.70495616400209,0.419581616866757,0.608467896295924
10,64,32,0.584644018389995,0.0292389971391672,0.209142880596121,0.0395467225081451,0.59450507570611,0.639555293143405,0.396840925683569,0.535047089861877
10,64,64,0.577143735012402,0.0521320109606682,0.209320014536343,0.0430068520066373,0.595050410606052,0.597925533747508,0.404353828574274,0.579482932083823
50,32,16,0.564527777157054,0.0489067830180171,0.20769086543293,0.0401652172516461,0.608675593075216,0.679801049668056,0.416820501718534,0.571159173858539
50,32,32,0.563344154728227,0.036821277287411,0.212879888366977,0.0431780768594481,0.609316372622054,0.675023033116423,0.418511995776382,0.608551592633371
50,32,64,0.564557568544417,0.0398530526865087,0.216653473272637,0.0412898549860789,0.609003925656044,0.700476618027757,0.417662218323828,0.570423563687236
50,64,16,0.564830951731288,0.108033905841038,0.213501424089098,0.0458706424075996,0.607345322518201,0.629418848540909,0.416952745009265,0.569699773541999
50,64,32,0.566006143592306,0.0788958421280078,0.216447917438482,0.0428420050144436,0.606720191196335,0.659727847537874,0.416139523750913,0.566782010423108
50,64,64,0.569406166498812,0.0492314720054287,0.212526246296601,0.040801379384531,0.605281125743631,0.674057495408068,0.412425547344087,0.561977533169962
