"algorithm","max_iterations","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"arow",5,0.97162716961996,0.999236929535276,0.972374542094437,0.9854299488466,0.982047387513524,0.972910581716442,0.972382363000869,0.972031703872102
"arow",10,0.969033875548571,0.999238264542149,0.969782559206647,0.984092861339887,0.982596469591142,0.978041700388371,0.96978906892948,0.973644720407933
"arow",50,0.970201839770144,0.999237823710079,0.970950087726849,0.984759027065195,0.982049670549048,0.973489880626856,0.970957033151053,0.971642444483887
"arow",100,0.970067041324177,0.999238062904022,0.970815524947508,0.984620145622782,0.981770747675108,0.975290333963568,0.970822234705086,0.972457976047529
"averaged-perceptron",5,0.61251623926217,0.999241011573833,0.613267643799736,0.701787001867981,0.824663773684373,0.896635781681676,0.613271432643079,0.666906195200172
"averaged-perceptron",10,0.876222097455819,0.999241681765714,0.87697417120945,0.92115980769729,0.94917797422062,0.951059737030041,0.876977290836728,0.902324514555431
"averaged-perceptron",50,0.967077670549097,0.999241681765714,0.967829744302728,0.982975043560507,0.983177102419318,0.974446103459389,0.967832863930006,0.970328148369104
"averaged-perceptron",100,0.970220568295189,0.999241681765714,0.970972642048821,0.984608389519086,0.985661127244304,0.976505639923918,0.970975761676098,0.973121000190239
"l2sgd",5,0.778527595505906,0.999243449291217,0.779281430486815,0.823670862804853,0.912233059007548,0.957531958806424,0.779282788886815,0.80654693139282
"l2sgd",10,0.888934656817279,0.999243899584471,0.889688943163568,0.917526922802292,0.961719280769708,0.981610001207571,0.889689850198188,0.908622655604911
"l2sgd",50,0.962342121728218,0.999244354181584,0.963096861591817,0.980484990402705,0.983438560841182,0.988735979758658,0.963097315109127,0.975248705797026
"l2sgd",100,0.970004859047908,0.999242798231202,0.970758046102324,0.984506922481994,0.985376888506335,0.984866692454747,0.970760052428817,0.977267776047215
"lbfgs",5,0.797767782401804,0.999242085484378,0.798520261134642,0.835659651364955,0.937581000454435,0.964011653654184,0.798522975782713,0.817905240858464
"lbfgs",10,0.967698147741778,0.999244354181584,0.968452887605377,0.98331658351222,0.985646669594985,0.993132646294927,0.968453341122687,0.980270369317091
"lbfgs",50,0.972744704811675,0.999242361509454,0.973497456164721,0.985990270618218,0.986478850332313,0.982204195957339,0.973499898192585,0.977479397690047
"lbfgs",100,0.972744704811675,0.999242361509454,0.973497456164721,0.985990270618218,0.986478850332313,0.982204195957339,0.973499898192585,0.977479397690047
"passive-aggressive",5,0.912896267613463,0.999243013633992,0.913649670094174,0.948743274199121,0.957400954512969,0.970866867951214,0.913651460994372,0.93466637278381
"passive-aggressive",10,0.937987369232467,0.999243473479105,0.938741231461907,0.963525616991763,0.970127660271394,0.979764073521871,0.938742562613377,0.953789457016467
"passive-aggressive",50,0.972238904771391,0.999242793735365,0.972992089401417,0.985726906335186,0.987037077401342,0.982118737759748,0.972994098152301,0.977297573871883
"passive-aggressive",100,0.972238904771391,0.999242793735365,0.972992089401417,0.985726906335186,0.987037077401342,0.982118737759748,0.972994098152301,0.977297573871883
