"max_epochs","lstm_units","batch_size","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
5,32,16,0.584471633382234,0.0211433744145188,0.208297594834826,0.0396384696080601,0.607603037663262,0.595028801572012,0.395275324608622,0.578442853031081
5,32,32,0.589302641986737,0.0789110314415231,0.209392872899048,0.0407224622869367,0.599570552169231,0.569053779941352,0.390472121586487,0.537221681932962
5,32,64,0.586017358869175,0.0231124154375242,0.213003584859894,0.0431539942516949,0.604833445807664,0.643691309529444,0.394298630369654,0.601310905650111
5,64,16,0.594690827475211,0.0210953601862156,0.205903279749291,0.0395102166045787,0.598749197790292,0.597285237161806,0.384891859987892,0.556869723681258
5,64,32,0.580703173912731,0.0216348365429357,0.212113806065081,0.0405244731886929,0.607226932585618,0.647278912295363,0.399454462215671,0.579490211368163
5,64,64,0.581568778978584,0.0225737624578229,0.210886533337808,0.0424014194135322,0.604369239521186,0.711335380612526,0.398481185548203,0.608283493240987
10,32,16,0.585491944006672,0.0193339948149003,0.213669361620636,0.0362297811410714,0.604148243068697,0.603999034517891,0.394855553617402,0.507096076692895
10,32,32,0.591448167736769,0.0218900984010591,0.213539280319823,0.0410071040158451,0.598800281156607,0.635696054286004,0.388885737383056,0.562338855629772
10,32,64,0.581814390812118,0.0228672031567277,0.208569946415958,0.0428350590134409,0.608098441154273,0.620278495483143,0.398096838745442,0.625046269832519
10,64,16,0.589237787983728,0.0203935726103798,0.210331493139911,0.0381786242685092,0.601706308236508,0.637943449962363,0.390755829822134,0.539115953566371
10,64,32,0.589732773095649,0.04150695078096,0.204766315717591,0.0334773224626481,0.603874623267806,0.542885181319491,0.389503943764377,0.455914723436748
10,64,64,0.581149242977182,0.020338024218718,0.212780472731748,0.0381174301271553,0.612524373411031,0.699195477107967,0.399090528674834,0.553018370094009
50,32,16,0.576264975595712,0.0203106318526489,0.212780472731748,0.0380729617021743,0.614130656055512,0.642497877936861,0.403974796056303,0.558596150194891
50,32,32,0.5820156412271,0.0181013303444643,0.212012024894597,0.0339236594193057,0.611003528841746,0.565099404187622,0.398128542740548,0.492746995872668
50,32,64,0.57677078553466,0.0192063089218391,0.212882253902231,0.0359980931537346,0.612507001871921,0.617633747309504,0.403482438278108,0.525886316366244
50,64,16,0.578084382078496,0.0191628491621186,0.212780472731748,0.0359238451675603,0.613771759100388,0.63937412576824,0.40215538957352,0.525712685710047
50,64,32,0.578979741342958,0.0189915317250427,0.211571206744795,0.0356264631726568,0.608799212685571,0.595754675961484,0.40112854982843,0.516325870587901
50,64,64,0.576229104086329,0.0191775546313867,0.212882253902231,0.0359495112164033,0.613823510113314,0.59122655469428,0.40402411972644,0.527254337952381
