"max_epochs","lstm_units","batch_size","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
5,32,16,0.598645372230958,0.0210190003459707,0.211808859723545,0.0394953187314915,0.587968985904171,0.529198019015772,0.382339945532129,0.534402283998191
5,32,32,0.603737374962278,0.0464307739549852,0.214052640083052,0.0384516326504045,0.589554153980148,0.611093261016183,0.377411903328556,0.485331608247271
5,32,64,0.592757307387798,0.0184621995189189,0.211210302201994,0.0347327657619968,0.594987137285958,0.585924330791925,0.388152352145744,0.494463382532772
5,64,16,0.600252325081429,0.022043644764361,0.211491330768109,0.0412662835637973,0.571792522395355,0.513384468020555,0.380679416698897,0.54026040821164
5,64,32,0.594330074498332,0.0185376034071055,0.211105315325353,0.0348656496694384,0.590623378795722,0.59262544175488,0.386567024193634,0.486336389632965
5,64,64,0.590469581735396,0.0221600491172411,0.211210302201994,0.0416889704327609,0.598706781979905,0.644695958540159,0.390440077798147,0.60672211588742
10,32,16,0.589733624791081,0.0876872382954011,0.213254897165258,0.0399837679693244,0.598501946279098,0.586893908493896,0.391193899646588,0.484630078103734
10,32,32,0.593083028881931,0.0204437113997419,0.212151222087479,0.038322659891583,0.583811901243643,0.56627988794847,0.387908444548268,0.526891788924381
10,32,64,0.591166836796236,0.0184890963946357,0.211210302201994,0.0347804645334195,0.598752986858362,0.607465333228018,0.389742822737307,0.505845825264122
10,64,16,0.597632828437818,0.0195986681217815,0.21120867449848,0.0368648762427785,0.593713264739803,0.665014674066364,0.383276835041332,0.527311725357345
10,64,32,0.593853006137437,0.019464822743445,0.211600831361225,0.0354552878165107,0.593684876866439,0.664327176251119,0.387091244458013,0.489026906839591
10,64,64,0.593406878891705,0.0187656247600622,0.210836533938317,0.0352409962284603,0.592648250172189,0.540070489652843,0.387465420474465,0.500031819108391
50,32,16,0.588162519366536,0.0210248007489954,0.211680890437288,0.0395097751914672,0.598800552582367,0.607491978707984,0.392781742243132,0.573599027673913
50,32,32,0.58747879838173,0.0183882636854767,0.210364574584612,0.0345941252762475,0.600904001649371,0.560206236772643,0.393346293109516,0.510634985381798
50,32,64,0.588433557779927,0.0207810137153864,0.21120867449848,0.0390938236729801,0.599349385281445,0.609340591247196,0.392476105699223,0.568922851050897
50,64,16,0.588838047161531,0.0195314129795091,0.210467933757739,0.0367386520641396,0.599176744060701,0.580172147393083,0.3919996091169,0.538351438605778
50,64,32,0.587700989257298,0.0195774799424358,0.211210302201994,0.0368284609597255,0.600212986063914,0.562116914779675,0.393208670276245,0.540884518404361
50,64,64,0.588846573756095,0.0184945983195503,0.21120867449848,0.0347901556088577,0.601170831943403,0.6289098153995,0.392063089723056,0.514082330111539
