"algorithm","max_iterations","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"arow",5,0.994972686979639,0.999949621168157,0.995023016279717,0.997456381981123,0.997247484138588,0.995530286322626,0.99502304103749,0.995268593954103
"arow",10,0.996039190452187,0.999949624144632,0.99608952272437,0.998000868397045,0.997826122315793,0.996684043726111,0.996089544510038,0.996378322264346
"arow",50,0.998803634540738,0.999949626128323,0.998853968793182,0.999400485513195,0.99923360024933,0.998788302890762,0.998853988598589,0.99881873372048
"arow",100,0.999328356553366,0.999949626129572,0.999378690803939,0.999663879411817,0.999499513654152,0.999078141275863,0.999378710611217,0.999227620775597
"averaged-perceptron",5,0.902485636260802,0.999949583457363,0.902535927897896,0.942714980777446,0.940986601004663,0.95979106988941,0.902535990318654,0.923520407462107
"averaged-perceptron",10,0.968629602076256,0.99994958346456,0.968679893718651,0.983714006494319,0.981245217192732,0.981379337418646,0.968679956134107,0.974457489450942
"averaged-perceptron",50,0.996649929251429,0.999949598343197,0.996700235751543,0.998319257429578,0.997669362394446,0.997193459334616,0.99670028330928,0.996941372645173
"averaged-perceptron",100,0.998065990237803,0.999949606278276,0.99811630466114,0.999030690364553,0.998482783893114,0.997983066883653,0.998116344295654,0.998047082896284
"l2sgd",5,0.666695843365314,0.999949616167999,0.66674616768309,0.683375321221349,0.792858464444134,0.855544594077501,0.666746197423165,0.650968369274757
"l2sgd",10,0.67750643278548,0.999949620146335,0.677556761068453,0.689346496031429,0.798130104625364,0.862208605813197,0.677556786843331,0.660254695587589
"l2sgd",50,0.686344223022585,0.999949620147262,0.686394551307428,0.694115975781034,0.802791674433584,0.865588795080864,0.686394577080436,0.666912414623448
"l2sgd",100,0.68687651029681,0.99994962016225,0.686926838588202,0.694538598206958,0.803088881845221,0.8610419789816,0.686926864354661,0.66757826785225
"lbfgs",5,0.882727006659443,0.99994865002553,0.882776383865001,0.934346736107788,0.92537021076579,0.920540484672944,0.882777360717294,0.892886525700981
"lbfgs",10,0.994126933209965,0.999949617194526,0.994177258531436,0.997050199179922,0.995995605286275,0.994533627246487,0.994177287267816,0.99433322821174
"lbfgs",50,0.999530708292306,0.999949639006718,0.999581055414415,0.999765254833768,0.999702803594268,0.999621466186159,0.999581062350157,0.999601078037702
"lbfgs",100,0.999530708292306,0.999949639006718,0.999581055414415,0.999765254833768,0.999702803594268,0.999621466186159,0.999581062350157,0.999601078037702
"passive-aggressive",5,0.992402176984537,0.999949618078891,0.992452503272892,0.996065626871787,0.994165004088893,0.996896527582549,0.992452531042389,0.994524352991445
"passive-aggressive",10,0.998952398894593,0.999949641977263,0.999002748987246,0.999473740029613,0.999342975142489,0.99961947947784,0.999002752952444,0.999308487028205
"passive-aggressive",50,0.999609158714928,0.999949639997315,0.999659506827322,0.999804504989718,0.999749728696272,0.999697087409432,0.999659512772779,0.999678124847437
"passive-aggressive",100,0.999572087352556,0.999949639997315,0.999622435464949,0.999785960715263,0.99971844447916,0.999633359602995,0.999622441410407,0.99962769527756
