"algorithm","max_iterations","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"arow",5,0.0486675608261678,0.0462437441847248,0.992967114754531,0.088004898904457,0.998139359682206,0.997239071059813,0.997193551972414,0.997209308242062
"arow",10,0.0474524896589247,0.0461813687471114,0.99285871367052,0.0878909394270956,0.998828411964445,0.998156025097871,0.998394966601589,0.998271075994638
"arow",50,0.0475450143300858,0.0461597550009207,0.991790644166296,0.0878485906095069,0.99875949991345,0.998175941968664,0.998258253204577,0.998211746237646
"arow",100,0.0478851979916652,0.0461603072496096,0.991682243082285,0.0878498512041251,0.998535538713206,0.99798204769699,0.99790441300493,0.997934020680866
"averaged-perceptron",5,0.301331369561648,0.0553448241311416,0.75904506751125,0.0988148711127826,0.838007755672029,0.942574544463276,0.72276342753345,0.769897547725227
"averaged-perceptron",10,0.0930130613337098,0.044274975269172,0.897507746922123,0.0839542320622171,0.967789992180201,0.9869590835413,0.943840975461445,0.962079555902288
"averaged-perceptron",50,0.0518400358804878,0.0457990882198565,0.979400809454429,0.0871408265667219,0.996123778461223,0.996846825360788,0.992748740358534,0.994726462549001
"averaged-perceptron",100,0.0510625342189444,0.0461511057861919,0.98669653422043,0.087812573300243,0.996899092519536,0.997223327871813,0.994345289639125,0.995742275282789
"l2sgd",5,0.368987894854339,0.0690654014790791,0.601472339216774,0.0909662400518601,0.785058765900154,0.949035883900308,0.642813983264972,0.643926862525616
"l2sgd",10,0.342283777204226,0.0684962090771738,0.628351339829196,0.0902701277068559,0.800031785639846,0.956070176409449,0.672287663711647,0.665773375452966
"l2sgd",50,0.330046733848335,0.0702829654905209,0.695235294487683,0.0947060212693217,0.808903871381367,0.959689874004768,0.690432702027997,0.678315009029664
"l2sgd",100,0.327708820813492,0.0689559681613812,0.697653874094453,0.0935067761824661,0.810488635024503,0.96033765270679,0.692946484163063,0.682019726588467
"lbfgs",5,0.401807082596086,0.0585393208400788,0.559389109225013,0.0890545272316812,0.769535995176989,0.87715933702668,0.609598773729107,0.601313218120753
"lbfgs",10,0.0563650083433885,0.042773652442726,0.910484852342364,0.0813533105959846,0.990369958526533,0.991319935541803,0.981510910899347,0.986109365090002
"lbfgs",50,0.0522314754602463,0.0457385044876278,0.980923760840045,0.087017799613144,0.995847118149191,0.99826588154774,0.992198473722158,0.994833962317273
"lbfgs",100,0.0522314754602463,0.0457385044876278,0.980923760840045,0.087017799613144,0.995847118149191,0.99826588154774,0.992198473722158,0.994833962317273
"passive-aggressive",5,0.0667428059689002,0.0428275509403811,0.901988679354191,0.0813542873405617,0.980205108505719,0.992338308069988,0.970104040753719,0.979018939903045
"passive-aggressive",10,0.0743535875821611,0.0447011289222568,0.933896531715933,0.0848553149523628,0.974824764997213,0.991377131642014,0.965697816101704,0.974285514891618
"passive-aggressive",50,0.0588905549542252,0.0457654793110539,0.974163682041336,0.0870055590565573,0.992073169529076,0.996760802457591,0.984938390970055,0.98912721689519
"passive-aggressive",100,0.0588451471175831,0.0460444028254019,0.977745771593575,0.0875239184789343,0.992279981379851,0.996798160380819,0.985383798806697,0.989494905523497
