"max_epochs","lstm_units","batch_size","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
5,32,16,0.292125851942944,0.999965307207979,0.292149864541052,0.407941188346673,0.52654243822235,0.330009303560658,0.292146041500968,0.300669410328559
5,32,32,0.337008861847433,0.999957604519756,0.337039283069097,0.448606565157599,0.553921626315161,0.359410096781859,0.337042499043715,0.338363933113411
5,32,64,0.294323505768741,0.99995681769852,0.294354802871925,0.406758841301426,0.535273942297604,0.36051227745662,0.294357142965023,0.307850630278234
5,64,16,0.307978459793353,0.999959166854911,0.308008672711422,0.398911227750803,0.530917836644826,0.284366822441415,0.308012096989635,0.297820948541076
5,64,32,0.316288945611411,0.999961564867369,0.316311559678588,0.467675061265544,0.524659919498893,0.306201142105825,0.316309126121402,0.342415121221674
5,64,64,0.313034837605919,0.999963163113579,0.313057405102756,0.44932327133791,0.52613264924214,0.312214016883293,0.313055027163943,0.33244626528324
10,32,16,0.309545523073145,0.999957483305534,0.309575869728874,0.417952409755397,0.537563696279093,0.324250485284565,0.309579160269427,0.317498878399688
10,32,32,0.295624480280927,0.999954247145182,0.295655463803525,0.435051949908347,0.531052399227168,0.289432812366181,0.295658117477209,0.324312144116195
10,32,64,0.288119035225383,0.999953254768626,0.288149491616313,0.419620504632852,0.52254042204677,0.3242833837118,0.288152672421665,0.311479879708147
10,64,16,0.29846263391458,0.999952477361805,0.298494090902077,0.458811207194702,0.542915304117327,0.331478452131741,0.298496271110862,0.344146836242867
10,64,32,0.327508911903827,0.999957916512563,0.327539536570475,0.439940332488785,0.546504587455526,0.348995790364239,0.327542549100109,0.331194263483435
10,64,64,0.319729228619349,0.999951595491637,0.319760129330532,0.489267751260482,0.542760702870747,0.302603989591514,0.319762865815631,0.355651004804631
50,32,16,0.326879342845533,0.999955185001127,0.326909487889093,0.461102741199743,0.53908693639875,0.318189816418869,0.326912980041815,0.344759535872079
50,32,32,0.322179779386504,0.99995363209837,0.322210426142089,0.471887661479482,0.543357883359109,0.326294379549326,0.322213416582786,0.349956121624915
50,32,64,0.327768080669618,0.999956339802959,0.327799000850662,0.457154461185082,0.549154507594139,0.309206825682664,0.3278017178659,0.339987037260086
50,64,16,0.323279901019078,0.999967734076046,0.323303312243399,0.438133270046336,0.543202917094173,0.321981150199544,0.323300072468852,0.32980244673894
50,64,32,0.315250580678713,0.999954371970237,0.315281696137694,0.465269179104424,0.54959493847976,0.330828682621965,0.315284217874995,0.354933654946163
50,64,64,0.311752511961995,0.999958506060761,0.311783590508695,0.421022130722335,0.538486687274989,0.338036571333587,0.311786149158276,0.315309191457636
