"algorithm","max_iterations","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"arow",5,0.0489758989846208,0.0460816294166543,0.994479356164396,0.0877601000312564,0.997743477046417,0.996546650301371,0.996826545157273,0.996679114465786
"arow",10,0.048424789398172,0.0461210973735807,0.996903598588638,0.087839502645225,0.998290504639824,0.997315109509554,0.997505348279237,0.997408159728615
"arow",50,0.0477659818389996,0.0460951701000141,0.996903598588638,0.087791758946028,0.998683732790322,0.997996841770174,0.998164155838409,0.998077073468752
"arow",100,0.0475264357979227,0.0460871435537811,0.996903598588638,0.0877767771516634,0.998871769920879,0.998231651841824,0.998403701879486,0.998315951123278
"averaged-perceptron",5,0.329407158005488,0.0535648826863976,0.725638327369631,0.0979088125409588,0.804726415790841,0.938250980756742,0.693769638577162,0.74960909947726
"averaged-perceptron",10,0.112605008305119,0.0449340338156172,0.908998387215935,0.0853141208099611,0.952537322862909,0.976466188116364,0.924796321571111,0.94648941387269
"averaged-perceptron",50,0.049494264347122,0.0457159862054442,0.983605346489572,0.0870493693821408,0.996889719494632,0.997744327849851,0.995383463398424,0.996554114567966
"averaged-perceptron",100,0.0481472659814207,0.0458160634451273,0.987853921794863,0.087246597295479,0.998154272393393,0.998229318609129,0.997081271384612,0.997647890745956
"l2sgd",5,0.106963942897293,0.0422935188886063,0.854509666859866,0.08027799592337,0.953363534995403,0.969401554206209,0.92658564664305,0.940219716564619
"l2sgd",10,0.0627781877212172,0.0427235545729886,0.906064750086426,0.0812727114214656,0.988052789472379,0.993205919645233,0.974745974990037,0.983084419202514
"l2sgd",50,0.0467791162715977,0.0453287934096708,0.969781456319261,0.0863040535517106,0.99856436820073,0.999029069041285,0.997535642105824,0.998280150453037
"l2sgd",100,0.0466023603862247,0.045511695018777,0.977248122985928,0.0866608255442396,0.998820750731695,0.999258698474935,0.998132327337399,0.998693876981214
"lbfgs",5,0.557814213553737,0.066449890614397,0.475140528277976,0.0931156724606326,0.705187554869786,0.830103700337778,0.444802459021052,0.405165780359189
"lbfgs",10,0.057797352530385,0.0408364579919178,0.87373954056306,0.0777101912682043,0.988532214878564,0.990832379953156,0.976216334596988,0.982959220801028
"lbfgs",50,0.046329182333691,0.0459811923657975,0.99365145965146,0.0875711090358917,0.9995557380463,0.999626229868382,0.999449734103498,0.999537810212367
"lbfgs",100,0.046329182333691,0.0459811923657975,0.99365145965146,0.0875711090358917,0.9995557380463,0.999626229868382,0.999449734103498,0.999537810212367
"passive-aggressive",5,0.0529730974769766,0.0456431859414401,0.97650911763914,0.0868793676056427,0.992939831526303,0.995008508648518,0.991300626061541,0.992986015142147
"passive-aggressive",10,0.0462319130331349,0.045936686252107,0.991841485898179,0.0874846058139225,0.999487337146326,0.999461166178472,0.999456345011552,0.9994586413988
"passive-aggressive",50,0.0461971324492746,0.0459943161620555,0.994127200183893,0.0875974358208723,0.999658202861914,0.999561790799916,0.999618921122569,0.999590236895768
"passive-aggressive",100,0.0461651324492746,0.0459935731676599,0.994127200183893,0.0875960164804007,0.999675299801561,0.999600566430782,0.999650921122569,0.999625665115324
